2011,,,
,,,
QB,RB,WR,TE
361,304,264,230
359,260,241,194
318,235,194,114
302,234,191,110
283,197,185,103
221,174,174,89
216,166,169,86
207,163,161,80
191,156,148,80
173,154,148,77
148,152,144,74
143,151,143,67
139,149,135,57
128,144,132,51
123,140,131,41
123,133,123,41
113,122,123,36
102,122,122,32
101,121,116,26
69,119,112,23
68,112,107,14
66,111,107,8
65,109,103,8
64,100,101,0
45,97,99,
42,95,98,
22,88,92,
16,88,92,
2,85,87,
1,78,86,
,72,86,
,67,79,
,67,75,
,61,73,
,61,71,
,53,65,
,52,64,
,48,64,
,48,63,
,47,61,
,47,61,
,46,60,
,42,60,
,28,57,
,26,55,
,23,54,
,21,53,
,21,52,
,20,50,
,16,45,
,14,44,
,12,41,
,11,40,
,11,36,
,11,31,
,8,30,
,6,28,
,6,27,
,6,25,
,3,24,
,,23,
,,22,
,,19,
,,18,
,,18,
,,17,
,,12,
,,9,
,,8,
,,5,
,,4,
,,4,
,,3,
,,3,
,,2,
,,2,
,,1,
,,0,
,,,
2012,,,
,,,
QB,RB,WR,TE
294,281,263,119
282,240,252,118
267,232,219,115
250,210,216,86
227,201,212,85
220,187,212,66
215,186,206,66
201,181,189,54
185,172,185,52
184,161,185,49
178,154,177,42
167,148,176,31
159,144,175,28
147,141,172,24
145,138,168,20
139,134,149,16
133,130,146,15
133,118,135,14
133,117,133,13
129,111,133,10
125,108,126,3
92,106,113,2
84,87,112,2
69,87,112,0
56,84,112,
53,83,112,
39,78,104,
18,76,101,
15,74,100,
12,70,100,
,68,100,
,66,94,
,62,88,
,54,88,
,53,87,
,47,85,
,45,85,
,43,85,
,36,80,
,33,79,
,31,75,
,31,75,
,26,74,
,26,68,
,24,67,
,20,66,
,19,66,
,18,65,
,18,65,
,16,63,
,13,62,
,12,59,
,11,58,
,9,56,
,8,56,
,8,54,
,8,51,
,4,48,
,3,47,
,3,46,
,,45,
,,36,
,,36,
,,34,
,,30,
,,29,
,,29,
,,28,
,,27,
,,23,
,,22,
,,17,
,,17,
,,17,
,,14,
,,13,
,,7,
,,1,
,,,
2013,,,
,,,
QB,RB,WR,TE
400,313,224,201
306,273,220,116
224,261,213,113
220,226,213,113
209,207,210,111
207,189,209,104
205,180,200,87
193,179,188,86
191,178,187,85
188,172,182,66
185,167,180,51
177,156,176,44
173,153,170,38
172,152,154,37
166,152,150,30
156,148,146,26
138,142,141,23
114,131,126,21
112,124,126,19
86,123,119,14
79,119,116,12
78,113,109,11
74,109,105,4
72,109,105,3
67,102,105,
56,100,105,
36,90,102,
27,87,101,
21,86,91,
9,84,89,
,82,87,
,82,84,
,81,77,
,75,77,
,73,74,
,71,71,
,68,71,
,60,70,
,59,64,
,58,63,
,56,63,
,50,60,
,49,59,
,49,58,
,49,54,
,48,54,
,42,53,
,42,53,
,37,49,
,36,47,
,35,46,
,30,45,
,28,38,
,21,36,
,18,32,
,10,30,
,7,30,
,5,28,
,4,25,
,2,23,
,,21,
,,20,
,,19,
,,18,
,,18,
,,14,
,,11,
,,10,
,,10,
,,7,
,,7,
,,6,
,,6,
,,5,
,,3,
,,2,
,,1,
,,0,
,,,
2014,,,
,,,
QB,RB,WR,TE
298,289,289,183
296,278,245,147
263,269,230,140
240,226,220,138
236,199,204,136
229,194,200,101
212,174,199,92
205,167,195,91
203,146,178,82
202,135,166,80
199,134,163,77
194,123,161,74
182,123,147,60
179,118,134,54
160,118,131,54
154,110,129,51
153,110,124,50
127,109,124,41
118,104,124,34
100,87,119,32
86,82,116,15
82,82,116,8
73,77,114,8
54,70,111,2
49,70,105,
44,68,105,
39,67,101,
20,65,97,
18,65,97,
7,62,89,
,52,87,
,48,86,
,48,86,
,47,85,
,43,84,
,42,82,
,42,81,
,41,79,
,41,79,
,41,78,
,40,73,
,31,73,
,28,71,
,23,70,
,22,69,
,22,66,
,21,64,
,19,61,
,18,59,
,12,58,
,9,58,
,8,53,
,5,51,
,4,45,
,4,44,
,4,44,
,3,40,
,3,37,
,2,35,
,1,32,
,,31,
,,26,
,,25,
,,24,
,,24,
,,22,
,,22,
,,18,
,,13,
,,13,
,,11,
,,10,
,,8,
,,7,
,,7,
,,3,
,,3,
,,2,
,,,
2015,,,
,,,
QB,RB,WR,TE
331,232,290,148
294,177,283,139
277,155,249,137
261,152,237,128
256,148,227,122
249,148,212,87
236,131,190,83
236,125,181,83
231,122,178,65
228,121,177,58
221,118,174,52
220,117,168,44
213,115,162,23
191,111,161,23
184,102,151,23
183,98,140,21
181,97,139,17
170,95,135,17
155,95,133,16
148,90,127,16
148,84,121,9
127,83,121,8
109,83,119,3
102,81,117,2
83,78,115,
69,74,114,
41,72,107,
40,64,102,
27,64,98,
14,61,98,
,58,95,
,57,94,
,53,93,
,53,92,
,50,84,
,48,83,
,48,82,
,45,81,
,43,80,
,41,78,
,41,73,
,40,70,
,34,63,
,34,59,
,32,59,
,31,57,
,29,57,
,28,55,
,28,46,
,25,44,
,21,43,
,18,43,
,16,42,
,10,35,
,10,32,
,6,28,
,5,27,
,4,24,
,1,24,
,1,24,
,,23,
,,21,
,,21,
,,18,
,,18,
,,17,
,,16,
,,16,
,,12,
,,11,
,,10,
,,10,
,,9,
,,8,
,,5,
,,5,
,,4,
,,1,
,,,
2016,,,
,,,
QB,RB,WR,TE
359,330,207,124
322,247,206,109
311,241,204,107
274,222,198,91
253,219,175,88
231,205,161,82
231,176,159,71
227,163,156,69
226,160,150,69
222,153,147,66
217,139,145,53
216,137,141,50
215,132,132,45
214,129,130,45
212,121,130,36
200,119,130,35
200,118,124,34
199,117,119,33
191,114,115,29
184,113,112,22
184,106,112,15
166,102,104,14
157,92,100,12
148,86,100,5
136,85,99,
133,83,98,
131,74,98,
101,73,98,
57,72,96,
32,70,95,
,66,94,
,66,92,
,62,90,
,61,88,
,60,87,
,57,87,
,56,87,
,54,85,
,48,85,
,48,82,
,40,75,
,36,74,
,36,73,
,33,72,
,32,71,
,30,71,
,29,64,
,29,59,
,22,56,
,21,56,
,19,51,
,17,51,
,17,50,
,15,49,
,15,45,
,10,41,
,6,41,
,3,40,
,2,37,
,1,31,
,,31,
,,29,
,,28,
,,25,
,,24,
,,24,
,,22,
,,19,
,,18,
,,17,
,,12,
,,12,
,,7,
,,7,
,,6,
,,5,
,,4,
,,4,
,,,
2017,,,
,,,
QB,RB,WR,TE
268,295,232,144
218,254,231,139
204,229,204,115
200,210,184,89
197,200,182,85
192,194,178,82
188,180,171,82
186,147,161,68
176,146,155,57
171,141,149,54
164,137,145,50
161,123,144,43
146,117,144,41
140,115,142,41
122,113,136,36
118,108,126,35
110,95,122,30
105,92,118,29
102,88,118,19
101,88,116,16
92,86,115,15
89,84,113,11
86,81,111,10
78,80,107,6
70,72,98,
54,71,97,
52,70,96,
23,68,95,
9,64,95,
8,63,93,
,63,86,
,63,85,
,59,83,
,58,78,
,53,78,
,53,77,
,52,77,
,50,71,
,48,70,
,41,68,
,39,68,
,38,66,
,26,59,
,26,59,
,24,59,
,21,58,
,20,55,
